// entry_activities.csv
activity_name,date
"Exercise","2024-12-01 08:30:00"
"Read","2024-12-01 08:30:00"
"Listen to Music","2024-12-01 16:45:00"
"Read","2024-12-02 09:15:00"
"Social Time","2024-12-02 17:00:00"
"Exercise","2024-12-03 14:20:00"
"Sleep","2024-12-03 21:00:00"
"Listen to Music","2024-12-04 12:30:00"
"Social Time","2024-12-05 19:45:00"
"Exercise","2024-12-06 08:00:00"
"Read","2024-12-07 11:30:00"
"Exercise","2024-12-08 10:15:00"
"Exercise","2024-12-09 16:30:00"
"Listen to Music","2024-12-10 14:45:00"
"Social Time","2024-12-11 13:20:00"
"Read","2024-12-12 15:00:00"
"Social Time","2024-12-13 16:45:00"
"Read","2024-12-14 12:00:00"
"Exercise","2024-12-15 09:30:00"
"Read","2024-12-16 11:45:00"
"Social Time","2024-12-17 14:30:00"
"Listen to Music","2024-12-18 17:15:00"
"Social Time","2024-12-19 13:00:00"
"Social Time","2024-12-20 16:20:00"
"Social Time","2024-12-21 14:45:00"
"Social Time","2024-12-22 12:30:00"
"Social Time","2024-12-24 11:00:00"
"Social Time","2024-12-25 14:00:00"
"Listen to Music","2024-12-26 13:15:00"
"Social Time","2024-12-27 15:30:00"
"Social Time","2024-12-28 16:45:00"
"Social Time","2024-12-31 20:00:00"
